Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,Gender,Ethnicity,Child's First Name,Sub1,Sub2,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1,Female,Asian And Pacific Islander,Sophia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHLOE,106,2,Female,Asian And Pacific Islander,Chloe,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EMILY,93,3,Female,Asian And Pacific Islander,Emily,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,OLIVIA,89,4,Female,Asian And Pacific Islander,Olivia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EMMA,75,5,Female,Asian And Pacific Islander,Emma,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLA,67,6,Female,Asian And Pacific Islander,Isabella,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TIFFANY,54,7,Female,Asian And Pacific Islander,Tiffany,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ASHLEY,52,8,Female,Asian And Pacific Islander,Ashley,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,FIONA,48,9,Female,Asian And Pacific Islander,Fiona,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELA,47,10,Female,Asian And Pacific Islander,Angela,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VIVIAN,44,11,Female,Asian And Pacific Islander,Vivian,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MICHELLE,42,12,Female,Asian And Pacific Islander,Michelle,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOANNA,38,13,Female,Asian And Pacific Islander,Joanna,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SARAH,38,13,Female,Asian And Pacific Islander,Sarah,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MIA,36,14,Female,Asian And Pacific Islander,Mia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IVY,35,15,Female,Asian And Pacific Islander,Ivy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,GRACE,33,16,Female,Asian And Pacific Islander,Grace,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NICOLE,33,16,Female,Asian And Pacific Islander,Nicole,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VICKY,32,17,Female,Asian And Pacific Islander,Vicky,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JASMINE,31,18,Female,Asian And Pacific Islander,Jasmine,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNA,30,19,Female,Asian And Pacific Islander,Anna,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELAINE,28,20,Female,Asian And Pacific Islander,Elaine,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALICE,27,21,Female,Asian And Pacific Islander,Alice,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CATHERINE,27,21,Female,Asian And Pacific Islander,Catherine,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CLAIRE,27,21,Female,Asian And Pacific Islander,Claire,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JENNY,27,21,Female,Asian And Pacific Islander,Jenny,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MAYA,27,21,Female,Asian And Pacific Islander,Maya,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALYSSA,26,22,Female,Asian And Pacific Islander,Alyssa,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELINA,26,22,Female,Asian And Pacific Islander,Angelina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IRIS,26,22,Female,Asian And Pacific Islander,Iris,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JESSICA,26,22,Female,Asian And Pacific Islander,Jessica,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SELINA,26,22,Female,Asian And Pacific Islander,Selina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN,26,22,Female,Asian And Pacific Islander,Tenzin,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALINA,25,23,Female,Asian And Pacific Islander,Alina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELLA,25,23,Female,Asian And Pacific Islander,Ella,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIE,25,23,Female,Asian And Pacific Islander,Sophie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,WINNIE,25,23,Female,Asian And Pacific Islander,Winnie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZOE,25,23,Female,Asian And Pacific Islander,Zoe,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24,24,Female,Asian And Pacific Islander,Abigail,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMY,24,24,Female,Asian And Pacific Islander,Amy,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,FATIMA,24,24,Female,Asian And Pacific Islander,Fatima,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JULIA,24,24,Female,Asian And Pacific Islander,Julia,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SARA,24,24,Female,Asian And Pacific Islander,Sara,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AVA,23,25,Female,Asian And Pacific Islander,Ava,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,HANNAH,23,25,Female,Asian And Pacific Islander,Hannah,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SABRINA,23,25,Female,Asian And Pacific Islander,Sabrina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ZAINAB,23,25,Female,Asian And Pacific Islander,Zainab,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,AMANDA,22,26,Female,Asian And Pacific Islander,Amanda,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGEL,22,26,Female,Asian And Pacific Islander,Angel,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EVA,22,26,Female,Asian And Pacific Islander,Eva,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOYCE,22,26,Female,Asian And Pacific Islander,Joyce,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAREN,22,26,Female,Asian And Pacific Islander,Karen,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KELLY,22,26,Female,Asian And Pacific Islander,Kelly,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SAMANTHA,22,26,Female,Asian And Pacific Islander,Samantha,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,STEPHANIE,22,26,Female,Asian And Pacific Islander,Stephanie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KATHERINE,21,27,Female,Asian And Pacific Islander,Katherine,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,KAYLA,21,27,Female,Asian And Pacific Islander,Kayla,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NINA,21,27,Female,Asian And Pacific Islander,Nina,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNIE,20,28,Female,Asian And Pacific Islander,Annie,Asian And Paci,Asian And Pacific Islander,
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHRISTINA,20,28,Female,Asian And Pacific Islander,Christina,Asian And Paci,Asian And Pacific Islander,
